OBJECTID,STNAME,COUNT_LOCATION,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID
247,ML KING JR BLVD S NB & SB,"M L KING JR ER & WR WAY S, N/O S ANDOVER ST",2014,352636,19500,315798
248,4TH AVE S,"4TH AVE S, S/O 2ND AV ET S",2014,6230,27000,315083
249,SAND POINT WAY NE,"SAND POINT WAY NE, S/O NE 74TH ST",2014,12724,16300,316482
250,EAST GREEN LAKE DR N,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",2014,14060,13300,316577
251,SAND POINT WAY NE,"SAND POINT WAY NE, SW/O NE 65TH ST",2014,12722,16600,315966
252,M L KING JR WAY S,"M L KING JR ER & WR WAY S, S/O S NORFOLK ST",2014,489661,31700,315908
253,N 125TH ST,"N 125TH ST, W/O AURORA AVE N",2014,519931,8000,316721
254,M L KING JR WAY S,"M L KING JR ER & WR WAY S, NW/O S EDMUNDS ST",2014,484993,21900,315906
255,WESTERN AV OFF RP,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2014,13524,16400,316720
256,SR99 FY,"WEST MARGINAL NB & SB WAY S, SE/O CLOVERDALE ST ON RP",2014,490543,41600,316674
257,COLUMBIA ST ON RP,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",2014,9738,10700,313368
258,4TH AVE S,"4TH AVE S, S/O 2ND AV ET S",2014,6230,27000,315083
259,ELLIOTT AVE W,"ELLIOTT AVE W, SE/O W MERCER PL",2014,10218,48900,315142
260,ALASKAN WAY,"ALASKAN WAY, SE/O BLANCHARD ST",2014,8728,10000,315539
261,SW SPOKANE BR,"SW SPOKANE BR, W/O SW SPOKANE E ST",2014,22804,10300,315320
262,35TH AVE SW,"35TH AVE SW, S/O SW ALASKA ST",2014,5452,23600,315079
263,UNION ST OFF RAMP,"UNION ST OFF RP, NE/O UNION ST",2014,489864,9100,313307
264,OLIVE WAY OFF RAMP,"OLIVE WY OFF RP, S/O OLIVE WAY",2014,489829,19200,314197
265,SENECA ST OFF RAMP,"I5 NB SENECA ST OFF RP, SE/O SENECA ST",2014,490079,17400,313801
266,S COLUMBIAN WAY,"S COLUMBIAN WAY, NW/O BEACON WR AVE S",2014,19699,15900,315294
267,YALE ST ON RAMP,"HOWELL ST ON RP, N/O I5 SB",2014,489781,19000,314145
268,ELLIOTT AV ON RP,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB",2014,10224,13600,316702
269,CHERRY ST ON RAMP NB,"CHERRY ST ON RP, NW/O CHERRY ST",2014,490102,13900,314739
270,MELROSE AVE ON RAMP,"OLIVE WY ON RP, N/O MELROSE AV ON RP",2014,489779,9900,314198
271,ALKI AVE SW,"ALKI AVE SW, W/O HARBOR AVE SW",2014,8782,10300,315739
272,JAMES ST ON RAMP SB,"6TH AV ON RP, SE/O 6TH AVE",2014,490110,30100,313312
273,CHERRY ST REV RAMP,"CHERRY ST EXPRESS RP, NE/O CHERRY ST",2014,490099,3000,310517
274,COLUMBIA ST OFF RAMP,"JAMES ST OFF RP, NW/O COLUMBIA ST",2014,490084,14900,316649
275,PIKE RAMP,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP",2014,489839,8000,313291
276,SPRING ST ON RAMP,"SPRING ST ON RP, SE/O SPRING ST",2014,490080,16700,313310
277,STEWART ST,"STEWART ST, NE/O 9TH AVE",2014,12906,12300,315314
278,MADISON ST OFF RAMP,"MADISON ST OFF RP, SE/O 7TH AVE",2014,490101,14600,314121
279,JAMES ST OFF RAMP,"JAMES ST OFF RP, S/O JAMES ST",2014,490103,12400,314196
280,UNIVERSITY ST ON RAMP,"UNIVERSITY ST ON RP, N/O I5 NB",2014,489863,9400,313800
281,LAKE CITY WAY NE,"LAKE CITY WAY NE, NE/O NE 95TH ST",2014,11159,41300,315671
